MEDICATION_NM,ingredient,concept_id
NOREPINEPHRINE 4 MG IN NS 250 ML EMERGENCY ADS PREMIX (UCI),ml emergency ads premix,
CEFTRIAXONE IV 500 MG IN SWFI (UCI),ceftriaxone iv,1777806
CEFTRIAXONE IV 500 MG IN SWFI (UCI),mg in swfi,
PROGESTERONE 200 MG PO CAPS,progesterone,1552310
PROGESTERONE 200 MG PO CAPS,mg po caps,
PLERIXAFOR 24 MG/1.2ML SC SOLN,plerixafor,19017581
RELUGOLIX 120 MG PO TABS,relugolix,739471
OPICAPONE 50 MG PO CAPS,opicapone,1145467
OPICAPONE 50 MG PO CAPS,mg po caps,
INV MCLA-129 (MCLA-129-CL01) IVPB (2020-6030)(UCI 20-195),inv mcla,
INV MCLA-129 (MCLA-129-CL01) IVPB (2020-6030)(UCI 20-195),ivpb,
OXYCODONE HCL 10 MG OR TABS,oxycodone hcl,1124957
INV NEXOBRID (MW2018-06-21) 5 GRAM GEL (2020-5958)(UCI CCR 19-128),inv nexobrid,
INV NEXOBRID (MW2018-06-21) 5 GRAM GEL (2020-5958)(UCI CCR 19-128),gram gel,
PRALATREXATE 20 MG/ML IV SOLN,pralatrexate,40166461
PRALATREXATE 20 MG/ML IV SOLN,ml iv soln,
CVS FIBER GUMMIES 2 G PO CHEW,cvs fiber gummies,
CVS FIBER GUMMIES 2 G PO CHEW,g po chew,
PENICILLIN G POTASSIUM 5000000 UNIT IJ SOLR,penicillin g potassium,1728416
PENICILLIN G POTASSIUM 5000000 UNIT IJ SOLR,unit ij solr,
LAMOTRIGINE ER 50 MG PO TB24,lamotrigine er,705103
LAMOTRIGINE ER 50 MG PO TB24,mg po tb,
DOXYCYCLINE MONOHYDRATE 50 MG OR TABS,doxycycline monohydrate,1738521
BIOTENE DRY MOUTH MT LOZG,biotene dry mouth mt lozg,
TIOPRONIN 100 MG OR TABS,tiopronin,903031
DUPILUMAB 300 MG/2ML SC SOPN,dupilumab,1593467
DUPILUMAB 300 MG/2ML SC SOPN,sc sopn,
NA CHONDROIT SULF-NA HYALURON 20-15 MG/0.5ML IO SOSY,na chondroit sulf,
NA CHONDROIT SULF-NA HYALURON 20-15 MG/0.5ML IO SOSY,na hyaluron,
NA CHONDROIT SULF-NA HYALURON 20-15 MG/0.5ML IO SOSY,io sosy,
methadone 10 MG/5ML solution  - ADS OVERRIDE,methadone,1103640
methadone 10 MG/5ML solution  - ADS OVERRIDE,solution,
SUCROFERRIC OXYHYDROXIDE 500 MG PO CHEW,sucroferric oxyhydroxide,44785066
SUCROFERRIC OXYHYDROXIDE 500 MG PO CHEW,mg po chew,
RUXOLITINIB PHOSPHATE 10 MG PO TABS,ruxolitinib phosphate,40244464
SODIUM BICARBONATE INFUSION (UCI),sodium bicarbonate infusion,939506
CODEINE SULFATE 15 MG OR TABS,codeine sulfate,1201620
lidocaine (XYLOCAINE) 1% PF injection  - ADS OVERRIDE,lidocaine,989878
lidocaine (XYLOCAINE) 1% PF injection  - ADS OVERRIDE,pf injection,
INV HTX-011 (HTX-011-304) 400-12 MG/ML SOLN (2020-5763)(UCI CCR 19-113),inv htx,
INV HTX-011 (HTX-011-304) 400-12 MG/ML SOLN (2020-5763)(UCI CCR 19-113),ml soln,
CYCLOSPORINE MODIFIED 25 MG OR CAPS,cyclosporine modified,19010482
CYCLOSPORINE MODIFIED 25 MG OR CAPS,mg or caps,
NORGESTREL-ETHINYL ESTRADIOL 0.3-30 MG-MCG OR TABS,norgestrel,1521592
NORGESTREL-ETHINYL ESTRADIOL 0.3-30 MG-MCG OR TABS,ethinyl estradiol,1549786
NORGESTREL-ETHINYL ESTRADIOL 0.3-30 MG-MCG OR TABS,mg,
NORGESTREL-ETHINYL ESTRADIOL 0.3-30 MG-MCG OR TABS,mcg or tabs,
SOTALOL HCL 120 MG OR TABS,sotalol hcl,1370109
INV ACETAMINOPHEN (HTX-011-304) 500 MG TABLET (2020-5763)(UCI CCR 19-113),inv acetaminophen,
INV ACETAMINOPHEN (HTX-011-304) 500 MG TABLET (2020-5763)(UCI CCR 19-113),mg tablet,
INV MCLA-129 (MCLA-129-CL01) 1500 MG IVPB (2020-6030)(UCI 20-195),inv mcla,
INV MCLA-129 (MCLA-129-CL01) 1500 MG IVPB (2020-6030)(UCI 20-195),mg ivpb,
midazolam PF (VERSED) 5 MG/ML injection  - ADS OVERRIDE,midazolam pf,708298
midazolam PF (VERSED) 5 MG/ML injection  - ADS OVERRIDE,ml injection,
INV IBUPROFEN (HTX-011-304) 200 MG TABLET (2020-5763)(UCI CCR 19-113),inv ibuprofen,
INV IBUPROFEN (HTX-011-304) 200 MG TABLET (2020-5763)(UCI CCR 19-113),mg tablet,
INV RFVIIA OR PLACEBO (FASTEST) IV PUSH (2021-6642)(UCI CCR 20-92),inv rfviia or placebo,
INV RFVIIA OR PLACEBO (FASTEST) IV PUSH (2021-6642)(UCI CCR 20-92),iv push,
PONATINIB HCL 15 MG PO TABS,ponatinib hcl,43013182
BOSUTINIB 400 MG PO TABS,bosutinib,42900401
AZILSARTAN-CHLORTHALIDONE 40-25 MG PO TABS,azilsartan,40235485
AZILSARTAN-CHLORTHALIDONE 40-25 MG PO TABS,chlorthalidone,1395058
DIANEAL LOW CALCIUM/1.5% DEX 344 MOSM/L IP SOLN,dianeal low calcium,
DIANEAL LOW CALCIUM/1.5% DEX 344 MOSM/L IP SOLN,dex,
DIANEAL LOW CALCIUM/1.5% DEX 344 MOSM/L IP SOLN,mosm,
DIANEAL LOW CALCIUM/1.5% DEX 344 MOSM/L IP SOLN,l ip soln,
EPINEPHrine (EPIPEN) 0.3 MG/0.3ML injection  - ADS OVERRIDE,epinephrine,1343916
EPINEPHrine (EPIPEN) 0.3 MG/0.3ML injection  - ADS OVERRIDE,injection,
PAZOPANIB HCL 200 MG PO TABS,pazopanib hcl,40167554
LEVONORGESTREL 20 MCG/DAY IU IUD,levonorgestrel,1589505
LEVONORGESTREL 20 MCG/DAY IU IUD,day iu iud,
BORTEZOMIB CHEMO SQ INJECTION (UCI),bortezomib chemo sq injection,1336825
INV GLASDEGIB (UCHMC1913) 100 MG TABLETS (2019-5533)(UCI 18-105),inv glasdegib,
INV GLASDEGIB (UCHMC1913) 100 MG TABLETS (2019-5533)(UCI 18-105),mg tablets,
MELPHALAN CHEMO INFUSION (UCI),melphalan chemo infusion,1301267
MITOXANTRONE CHEMO INJECTION (UCI),mitoxantrone chemo injection,1309188
BIOTENE DRY MOUTH MT LIQD,biotene dry mouth mt liqd,
RUXOLITINIB PHOSPHATE 5 MG PO TABS,ruxolitinib phosphate,40244464
PONATINIB HCL 45 MG PO TABS,ponatinib hcl,43013182
RIVASTIGMINE 13.3 MG/24HR TD PT24,rivastigmine,733523
RIVASTIGMINE 13.3 MG/24HR TD PT24,td pt,
INV RAVULIZUMAB (ALXN1210-COV-305) IVPB (2020-6044)(UCI CCR 20-89),inv ravulizumab,
INV RAVULIZUMAB (ALXN1210-COV-305) IVPB (2020-6044)(UCI CCR 20-89),ivpb,
ketOROLAC (TORADOL) 30 MG/ML injection  - ADS OVERRIDE,ketorolac,1136980
ketOROLAC (TORADOL) 30 MG/ML injection  - ADS OVERRIDE,ml injection,
VORICONAZOLE 200 MG IV SOLR,voriconazole,1714277
VORICONAZOLE 200 MG IV SOLR,mg iv solr,
TALC 4 G PL POWD,talc,1036667
TALC 4 G PL POWD,g pl powd,
CARIPRAZINE HCL 3 MG PO CAPS,cariprazine hcl,35603277
CARIPRAZINE HCL 3 MG PO CAPS,mg po caps,
ANAGRELIDE HCL 1 MG OR CAPS,anagrelide hcl,1381253
ANAGRELIDE HCL 1 MG OR CAPS,mg or caps,
INV AMG 160 (20190505) IVPB (2021-6921)(UCI 21-07),inv amg,
INV AMG 160 (20190505) IVPB (2021-6921)(UCI 21-07),ivpb,
METHYLPHENIDATE HCL 36 MG OR TBCR,methylphenidate hcl,705944
METHYLPHENIDATE HCL 36 MG OR TBCR,mg or tbcr,
POTASSIUM CHLORIDE 40 MEQ/15ML (20%) OR LIQD,potassium chloride,19049105
POTASSIUM CHLORIDE 40 MEQ/15ML (20%) OR LIQD,or liqd,
GADOBUTROL 1 MMOL/ML IV SOLN (WRAPPED RECORD),gadobutrol,19048493
GADOBUTROL 1 MMOL/ML IV SOLN (WRAPPED RECORD),mmol,
GADOBUTROL 1 MMOL/ML IV SOLN (WRAPPED RECORD),ml iv soln,
CENOBAMATE 100 MG PO TABS,cenobamate,37497998
DICLOFENAC SODIUM 50 MG OR TBEC,diclofenac sodium,1124300
DIAZEPAM 20 MG RE GEL,diazepam,723013
DIAZEPAM 20 MG RE GEL,mg re gel,
BAMLANIVIMAB (EUA) IVPB (UCI),bamlanivimab,37003201
BAMLANIVIMAB (EUA) IVPB (UCI),ivpb,
NORETHINDRONE-ETH ESTRADIOL 0.5-35 MG-MCG OR TABS,norethindrone,1521369
NORETHINDRONE-ETH ESTRADIOL 0.5-35 MG-MCG OR TABS,eth estradiol,
NORETHINDRONE-ETH ESTRADIOL 0.5-35 MG-MCG OR TABS,mg,
NORETHINDRONE-ETH ESTRADIOL 0.5-35 MG-MCG OR TABS,mcg or tabs,
ESTRIOL-PROGESTERONE MICRO 4-20 MG/GM TD CREA,estriol,19049038
ESTRIOL-PROGESTERONE MICRO 4-20 MG/GM TD CREA,progesterone micro,1552310
ESTRIOL-PROGESTERONE MICRO 4-20 MG/GM TD CREA,gm td crea,
FLECAINIDE 25 MG TABS (HALF TABLET),flecainide,1354860
FLECAINIDE 25 MG TABS (HALF TABLET),mg tabs,
SODIUM HYALURONATE 10 MG/ML IO SOLN.,sodium hyaluronate,19136048
SODIUM HYALURONATE 10 MG/ML IO SOLN.,ml io soln,
TRIENTINE HCL 250 MG OR CAPS,trientine hcl,19004969
TRIENTINE HCL 250 MG OR CAPS,mg or caps,
CENOBAMATE 150 MG PO TABS,cenobamate,37497998
CUSTODIOL SOLN (UCI),custodiol soln,
VERICIGUAT 5 MG PO TABS,vericiguat,739665
AMILORIDE HCL 5 MG OR TABS,amiloride hcl,991382
DIANEAL PD-2/2.5% DEXTROSE 396 MOSM/L IP SOLN,dianeal pd,
DIANEAL PD-2/2.5% DEXTROSE 396 MOSM/L IP SOLN,dextrose,
DIANEAL PD-2/2.5% DEXTROSE 396 MOSM/L IP SOLN,mosm,
DIANEAL PD-2/2.5% DEXTROSE 396 MOSM/L IP SOLN,l ip soln,
MOVE FREE JOINT HEALTH ADVANCE PO TABS,move free joint health advance po tabs,
DULoxetine (CYMBALTA) 20 MG CR capsule  - ADS OVERRIDE,duloxetine,715259
DULoxetine (CYMBALTA) 20 MG CR capsule  - ADS OVERRIDE,mg cr capsule,
atenolol (TENORMIN) 50 MG tablet  - ADS OVERRIDE,atenolol,1314002
atenolol (TENORMIN) 50 MG tablet  - ADS OVERRIDE,mg tablet,
SIMETHICONE EXTRA STRENGTH 125 MG PO CAPS,simethicone extra strength,966991
SIMETHICONE EXTRA STRENGTH 125 MG PO CAPS,mg po caps,
ANAGRELIDE HCL 0.5 MG OR CAPS,anagrelide hcl,1381253
ANAGRELIDE HCL 0.5 MG OR CAPS,mg or caps,
COLLAGEN PLUS VITAMIN C 740-125 MG OR CAPS,mg or caps,
CENOBAMATE 200 MG PO TABS,cenobamate,37497998
AKWA TEARS 83-15 % OP OINT,akwa tears,
AKWA TEARS 83-15 % OP OINT,op oint,
DAROLUTAMIDE 300 MG PO TABS,darolutamide,1361291
SEMAGLUTIDE 3 MG PO TABS,semaglutide,793143
OMEPRAZOLE-SODIUM BICARBONATE 40-1100 MG OR CAPS,omeprazole,923645
OMEPRAZOLE-SODIUM BICARBONATE 40-1100 MG OR CAPS,sodium bicarbonate,939506
OMEPRAZOLE-SODIUM BICARBONATE 40-1100 MG OR CAPS,mg or caps,
INV BI 764198 OR PLACEBO (1434-0009) 80 MG CAPSULE (2020-6280)(UCI CCR 20-124),inv bi,
INV BI 764198 OR PLACEBO (1434-0009) 80 MG CAPSULE (2020-6280)(UCI CCR 20-124),or placebo,
INV BI 764198 OR PLACEBO (1434-0009) 80 MG CAPSULE (2020-6280)(UCI CCR 20-124),mg capsule,
IMMUNE GLOBULIN (HUMAN) 4 GM/20ML SC SOLN,immune globulin,
KETOVIE PEPTIDE PO LIQD,ketovie peptide po liqd,
CLINDAMYCIN PHOSPHATE 900 MG/6ML IJ SOLN,clindamycin phosphate,997881
NADOLOL 20 MG OR TABS,nadolol,1313200
DEXLANSOPRAZOLE 30 MG PO CPDR,dexlansoprazole,19039926
DEXLANSOPRAZOLE 30 MG PO CPDR,mg po cpdr,
ESTRADIOL 0.5 MG/0.5GM TD GEL,estradiol,1548195
ESTRADIOL 0.5 MG/0.5GM TD GEL,td gel,
PRIMAQUINE PHOSPHATE 26.3 MG OR TABS,primaquine phosphate,1751310
DILTIAZEM HCL CR 120 MG OR CP12,diltiazem hcl cr,1328165
DILTIAZEM HCL CR 120 MG OR CP12,mg or cp,
METHOTREXATE OPHTHALMIC INJ 400 MCG / 0.1 ML (OPTIME),methotrexate ophthalmic inj,1305058
SODIUM BICARB 25 MEQ IN 1000 ML D5W IMPELLA PURGE SOLUTION (25 MEQ/L),sodium bicarb,19136048
SODIUM BICARB 25 MEQ IN 1000 ML D5W IMPELLA PURGE SOLUTION (25 MEQ/L),meq in,
SODIUM BICARB 25 MEQ IN 1000 ML D5W IMPELLA PURGE SOLUTION (25 MEQ/L),ml d,
SODIUM BICARB 25 MEQ IN 1000 ML D5W IMPELLA PURGE SOLUTION (25 MEQ/L),impella purge solution,
HYALURONIDASE HUMAN 150 UNIT/ML IJ SOLN,hyaluronidase human,19073699
HYALURONIDASE HUMAN 150 UNIT/ML IJ SOLN,unit,
GLUCAGON 10 MG/100 ML D5W INFUSION (UCI),glucagon,1560278
GLUCAGON 10 MG/100 ML D5W INFUSION (UCI),ml d,
GLUCAGON 10 MG/100 ML D5W INFUSION (UCI),infusion,
IRON SUCROSE IVPB 500 MG (UCI),iron sucrose ivpb,1395773
TURMERIC 500 MG PO TABS,turmeric,
ESTER-C 500-550 MG OR TABS,ester,
ESTER-C 500-550 MG OR TABS,c,
SITAGLIPTIN-METFORMIN HCL ER 50-500 MG PO TB24,sitagliptin,1580747
SITAGLIPTIN-METFORMIN HCL ER 50-500 MG PO TB24,metformin hcl er,1503297
SITAGLIPTIN-METFORMIN HCL ER 50-500 MG PO TB24,mg po tb,
POLY-VI-SOL/IRON 11 MG/ML PO SOLN,poly,
POLY-VI-SOL/IRON 11 MG/ML PO SOLN,vi,
POLY-VI-SOL/IRON 11 MG/ML PO SOLN,sol,
POLY-VI-SOL/IRON 11 MG/ML PO SOLN,iron,1360067
POLY-VI-SOL/IRON 11 MG/ML PO SOLN,ml po soln,
NORETHIN ACE-ETH ESTRAD-FE 1-20 MG-MCG(24) OR TABS,norethin ace,
NORETHIN ACE-ETH ESTRAD-FE 1-20 MG-MCG(24) OR TABS,eth estrad,
NORETHIN ACE-ETH ESTRAD-FE 1-20 MG-MCG(24) OR TABS,fe,
NORETHIN ACE-ETH ESTRAD-FE 1-20 MG-MCG(24) OR TABS,mg,
NORETHIN ACE-ETH ESTRAD-FE 1-20 MG-MCG(24) OR TABS,mcg or tabs,
PENTOBARBITAL SODIUM 50 MG/ML IJ SOLN,pentobarbital sodium,730729
INV AT845 (AT845-01) IVPB (2019-5594)(UCI CCR 19-126),inv at,
INV AT845 (AT845-01) IVPB (2019-5594)(UCI CCR 19-126),ivpb,
NETARSUDIL-LATANOPROST 0.02-0.005 % OP SOLN,netarsudil,793351
NETARSUDIL-LATANOPROST 0.02-0.005 % OP SOLN,latanoprost,954688
NETARSUDIL-LATANOPROST 0.02-0.005 % OP SOLN,op soln,
IVABRADINE HCL 7.5 MG PO TABS,ivabradine hcl,46234437
CALCIUM CARBONATE ANTACID 1250 MG/5ML PO SUSP (UCI),calcium carbonate antacid,19035704
CALCIUM CARBONATE ANTACID 1250 MG/5ML PO SUSP (UCI),po susp,
TADALAFIL (PAH) 20 MG PO TABS,tadalafil,1336926
INV PEXASTIMOGENE DEVACIREPVEC (JX594-REN026) IVPB (2020-5794)(UCI 20-02),inv pexastimogene devacirepvec,
INV PEXASTIMOGENE DEVACIREPVEC (JX594-REN026) IVPB (2020-5794)(UCI 20-02),ivpb,
METAXALONE 400 MG OR TABS,metaxalone,780369
PROTAMINE IVPB,protamine ivpb,
ALOSETRON HCL 1 MG OR TABS,alosetron hcl,948555
ESTRADIOL 0.75 MG/1.25 GM (0.06%) TD GEL,estradiol,1548195
ESTRADIOL 0.75 MG/1.25 GM (0.06%) TD GEL,td gel,
INV REGN2810 (JX594-REN026) IVPB (2020-5794)(UCI 20-02),inv regn,
INV REGN2810 (JX594-REN026) IVPB (2020-5794)(UCI 20-02),ivpb,
INV BUFFERED FLUSH SYRINGE (JX594-REN026) IVPB (2020-5794)(UCI 20-02),inv buffered flush syringe,
INV BUFFERED FLUSH SYRINGE (JX594-REN026) IVPB (2020-5794)(UCI 20-02),ivpb,
BEBTELOVIMAB 175 MG/2ML IV SOLN,bebtelovimab,1759073
TACROLIMUS 0.1 % EX OINT,tacrolimus,950637
TACROLIMUS 0.1 % EX OINT,ex oint,
CLONIDINE HCL ER 0.1 MG PO TB12,clonidine hcl er,1398937
CLONIDINE HCL ER 0.1 MG PO TB12,mg po tb,
PRAZIQUANTEL 600 MG OR TABS,praziquantel,1750461
PHENYLEPHRINE HCL 10 MG/ML IV SOLN,phenylephrine hcl,1135766
PHENYLEPHRINE HCL 10 MG/ML IV SOLN,ml iv soln,
LACTULOSE ENCEPHALOPATHY 10 GM/15ML OR SOLN,lactulose encephalopathy,987245
PHENTERMINE HCL 30 MG OR CAPS,phentermine hcl,735340
PHENTERMINE HCL 30 MG OR CAPS,mg or caps,
LAMOTRIGINE ER 100 MG PO TB24,lamotrigine er,705103
LAMOTRIGINE ER 100 MG PO TB24,mg po tb,
SULFAMETHOXAZOLE-TRIMETHOPRIM 1:10 DILUTED ORAL SUSP (COMPOUNDED),sulfamethoxazole,1836430
SULFAMETHOXAZOLE-TRIMETHOPRIM 1:10 DILUTED ORAL SUSP (COMPOUNDED),trimethoprim,1705674
SULFAMETHOXAZOLE-TRIMETHOPRIM 1:10 DILUTED ORAL SUSP (COMPOUNDED),diluted oral susp,
CEFAZOLIN SODIUM-DEXTROSE 1-4 GM-% IV SOLR,cefazolin sodium,1771162
CEFAZOLIN SODIUM-DEXTROSE 1-4 GM-% IV SOLR,dextrose,
CEFAZOLIN SODIUM-DEXTROSE 1-4 GM-% IV SOLR,iv solr,
GENTAMICIN IN SALINE 2-0.9 MG/ML-% IV SOLN,gentamicin in saline,45892419
PENICILLIN V POTASSIUM 500 MG OR TABS,penicillin v potassium,1729720
KETAMINE HCL 50 MG/5ML IJ SOSY,ketamine hcl,785649
KETAMINE HCL 50 MG/5ML IJ SOSY,ij sosy,
INV TTX-030 (TTX-030-001) IN 50 ML IVPB (2020-5945)(UCI 20-61),inv ttx,
INV TTX-030 (TTX-030-001) IN 50 ML IVPB (2020-5945)(UCI 20-61),ml ivpb,
ESCITALOPRAM OXALATE 2.5 MG OR TABS (HALF TABLET),escitalopram oxalate,715939
ABIRATERONE ACETATE 500 MG PO TABS,abiraterone acetate,40239056
BENAZEPRIL-HYDROCHLOROTHIAZIDE 10-12.5 MG OR TABS,benazepril,1335471
BENAZEPRIL-HYDROCHLOROTHIAZIDE 10-12.5 MG OR TABS,hydrochlorothiazide,974166
THALIDOMIDE 100 MG OR CAPS,thalidomide,19137042
THALIDOMIDE 100 MG OR CAPS,mg or caps,
ZALEPLON 10 MG OR CAPS,zaleplon,720727
ZALEPLON 10 MG OR CAPS,mg or caps,
ITRACONAZOLE 10 MG/ML OR SOLN,itraconazole,1703653
ITRACONAZOLE 10 MG/ML OR SOLN,ml or soln,
INV AMG 199 (20180290) IVPB (2019-5338)(UCI 19-56),inv amg,
INV AMG 199 (20180290) IVPB (2019-5338)(UCI 19-56),ivpb,
KETAMINE INFUSION (UCI),ketamine infusion,785649
AMLODIPINE-VALSARTAN 5-160 MG OR TABS,amlodipine,1332418
AMLODIPINE-VALSARTAN 5-160 MG OR TABS,valsartan,1308842
BIO-K PLUS STRONG PO CPDR,bio,
BIO-K PLUS STRONG PO CPDR,k plus strong po cpdr,
BELIMUMAB 200 MG/ML SC SOAJ,belimumab,40236987
BELIMUMAB 200 MG/ML SC SOAJ,ml sc soaj,
CYANOCOBALAMIN 1000 MCG/ML NEONATAL INJECTION (UCI),cyanocobalamin,
CYANOCOBALAMIN 1000 MCG/ML NEONATAL INJECTION (UCI),ml neonatal injection,
LOTEPREDNOL ETABONATE 0.2 % OP SUSP,loteprednol etabonate,967562
LOTEPREDNOL ETABONATE 0.2 % OP SUSP,op susp,
FENTANYL CITRATE 2500 MCG/50ML IV SOLN,fentanyl citrate,1154029
VITAMIN D-3 125 MCG (5000 UT) PO TABS,po tabs,
traZODone (DESYREL) 50 MG tablet  - ADS OVERRIDE,trazodone,703547
traZODone (DESYREL) 50 MG tablet  - ADS OVERRIDE,mg tablet,
BUPIVACAINE 0.1% (CONC 1 MG/ML) LABOR PCEA (UCI),bupivacaine,732893
BUPIVACAINE 0.1% (CONC 1 MG/ML) LABOR PCEA (UCI),labor pcea,
TRIMETHOPRIM 100 MG OR TABS,trimethoprim,1705674
VERAPAMIL HCL 60 MG OR TABS (HALF TABLET),verapamil hcl,1307863
REPAGLINIDE 1 MG OR TABS,repaglinide,1516766
INV OSIMERTINIB (MCLA-129-CL01) 80 MG TABLET (2021-6504)(UCI 20-195),inv osimertinib,
INV OSIMERTINIB (MCLA-129-CL01) 80 MG TABLET (2021-6504)(UCI 20-195),mg tablet,
FELBAMATE 400 MG OR TABS,felbamate,795661
ASPIRIN 325 MG OR TBEC,aspirin,1112807
FOSTAMATINIB DISODIUM 150 MG PO TABS,fostamatinib disodium,1510328
EPHEDRINE-GUAIFENESIN 12.5-200 MG OR TABS,ephedrine,1143374
EPHEDRINE-GUAIFENESIN 12.5-200 MG OR TABS,guaifenesin,1163944
OMEPRAZOLE POWD,omeprazole powd,923645
IBUTILIDE IVPB (UCI),ibutilide ivpb,19050087
AMINOPHYLLINE IVPB (UCI),aminophylline ivpb,1105775
PEMBROLIZUMAB INFUSION (UCI),pembrolizumab infusion,45775965
LUTEIN 6 MG OR CAPS,lutein,1310353
LUTEIN 6 MG OR CAPS,mg or caps,
DEGARELIX ACETATE(240 MG DOSE) 120 MG/VIAL SC SOLR,degarelix acetate,19058410
DEGARELIX ACETATE(240 MG DOSE) 120 MG/VIAL SC SOLR,vial sc solr,
CANAGLIFLOZIN-METFORMIN HCL 150-1000 MG PO TABS,canagliflozin,43526465
CANAGLIFLOZIN-METFORMIN HCL 150-1000 MG PO TABS,metformin hcl,1503297
EVEROLIMUS 0.75 MG PO TABS,everolimus,19011440
TREPROSTINIL INFUSION (UCI),treprostinil infusion,1327256
CROMOLYN SODIUM 5.2 MG/ACT NA AERS,cromolyn sodium,1152631
CROMOLYN SODIUM 5.2 MG/ACT NA AERS,act na aers,
ETONOGESTREL-ETHINYL ESTRADIOL 0.12-0.015 MG/24HR VA RING,etonogestrel,1519936
ETONOGESTREL-ETHINYL ESTRADIOL 0.12-0.015 MG/24HR VA RING,ethinyl estradiol,1549786
ETONOGESTREL-ETHINYL ESTRADIOL 0.12-0.015 MG/24HR VA RING,va ring,
LAMIVUDINE 50 MG OR TABS (HALF TABLET),lamivudine,1704183
ROPINIROLE HCL 8 MG OR TB24,ropinirole hcl,713823
ROPINIROLE HCL 8 MG OR TB24,mg or tb,
SULFUR HEXAFLUORIDE MICROSPH 60.7-25 MG IJ SUSR,sulfur hexafluoride microsph,45892833
SULFUR HEXAFLUORIDE MICROSPH 60.7-25 MG IJ SUSR,mg ij susr,
PARATHYROID HORMONE (RECOMB) 100 MCG SC CART,parathyroid hormone,43532113
PARATHYROID HORMONE (RECOMB) 100 MCG SC CART,mcg sc cart,
TAPENTADOL HCL 50 MG PO TABS,tapentadol hcl,19026459
"nystatin (MYCOSTATIN) 100,000 units/mL suspension  - ADS OVERRIDE",nystatin,922570
"nystatin (MYCOSTATIN) 100,000 units/mL suspension  - ADS OVERRIDE",units,
"nystatin (MYCOSTATIN) 100,000 units/mL suspension  - ADS OVERRIDE",ml suspension,
ESTRADIOL-NORETHINDRONE ACET 0.05-0.25 MG/DAY TD PTTW,estradiol,1548195
ESTRADIOL-NORETHINDRONE ACET 0.05-0.25 MG/DAY TD PTTW,norethindrone acet,1521369
ESTRADIOL-NORETHINDRONE ACET 0.05-0.25 MG/DAY TD PTTW,day td pttw,
DESVENLAFAXINE ER 100 MG PO TB24,desvenlafaxine er,717607
DESVENLAFAXINE ER 100 MG PO TB24,mg po tb,
COPANLISIB CHEMO IVPB (UCI),copanlisib chemo ivpb,792499
SODIUM THIOSULFATE INFUSION (UCI),sodium thiosulfate infusion,19136048
PROPOFOL 1000 MG/100ML IV EMUL OPTIME (UCI),propofol,753626
PROPOFOL 1000 MG/100ML IV EMUL OPTIME (UCI),iv emul optime,
CROFELEMER 125 MG PO TBEC,crofelemer,43013047
CROFELEMER 125 MG PO TBEC,mg po tbec,
bromocriptine (PARLODEL) 2.5 MG tablet  - ADS OVERRIDE,bromocriptine,730548
bromocriptine (PARLODEL) 2.5 MG tablet  - ADS OVERRIDE,mg tablet,
MIFEPRISTONE 200 MG OR TABS,mifepristone,1508439
CVS ADV PROBIOTIC GUMMIES PO CHEW,cvs adv probiotic gummies po chew,
LIDOCAINE HCL 10 MG/ML IV INJECTION OPTIME (UCI),lidocaine hcl,989878
LIDOCAINE HCL 10 MG/ML IV INJECTION OPTIME (UCI),ml iv injection optime,
CALCIPOTRIENE-BETAMETH DIPROP 0.005-0.064 % EX OINT,calcipotriene,908921
CALCIPOTRIENE-BETAMETH DIPROP 0.005-0.064 % EX OINT,betameth diprop,
CALCIPOTRIENE-BETAMETH DIPROP 0.005-0.064 % EX OINT,ex oint,
OLOPATADINE HCL 0.6 % NA SOLN,olopatadine hcl,915855
OLOPATADINE HCL 0.6 % NA SOLN,na soln,
CEFOXITIN SODIUM 2 GM IV SOLR,cefoxitin sodium,1775741
CEFOXITIN SODIUM 2 GM IV SOLR,gm iv solr,
MEROPENEM 1 GM IV SOLR,meropenem,1709170
MEROPENEM 1 GM IV SOLR,gm iv solr,
CEFUROXIME SODIUM 1.5 GM IV SOLR,cefuroxime sodium,1778162
CEFUROXIME SODIUM 1.5 GM IV SOLR,gm iv solr,
EPINEPHRINE PF 1 MG/ML IJ SOLN OPTIME (UCI),epinephrine pf,1343916
EPINEPHRINE PF 1 MG/ML IJ SOLN OPTIME (UCI),ml ij soln optime,
CEFOTETAN DISODIUM 1 GM IJ SOLR,cefotetan disodium,1774932
CEFTRIAXONE SODIUM 2 GM IJ SOLR,ceftriaxone sodium,1777806
NOREPINEPHRINE-SODIUM CHLORIDE 4-0.9 MG/250ML-% IV SOLN,norepinephrine,1321341
NOREPINEPHRINE-SODIUM CHLORIDE 4-0.9 MG/250ML-% IV SOLN,sodium chloride,967823
NAFCILLIN SODIUM 1 GM IJ SOLR,nafcillin sodium,1713930
REMIFENTANIL HCL 2 MG IV SOLR,remifentanil hcl,19016749
REMIFENTANIL HCL 2 MG IV SOLR,mg iv solr,
ASPIRIN-DIPYRIDAMOLE 25-200 MG OR CP12,aspirin,1112807
ASPIRIN-DIPYRIDAMOLE 25-200 MG OR CP12,dipyridamole,1331270
ASPIRIN-DIPYRIDAMOLE 25-200 MG OR CP12,mg or cp,
CEFOTETAN DISODIUM 2 GM IJ SOLR,cefotetan disodium,1774932
INV PREDNISOLONE ACETATE (20190505) 1 % OPHTHALMIC SUSPENSION (2021-6921)(UCI 21-07),inv prednisolone acetate,
